time,usage
2022-05-31 11:58:11,0.37594
2022-05-31 11:58:10,0.625782
2022-05-31 11:58:09,0.878294
2022-05-31 11:58:08,0.500626
2022-05-31 11:58:07,0.37594
2022-05-31 11:58:06,0.251256
2022-05-31 11:58:05,0.74813
2022-05-31 11:58:04,0.752823
2022-05-31 11:58:03,0.375469
2022-05-31 11:58:02,0.75188
2022-05-31 11:58:01,0.250941
2022-05-31 11:58:00,0.625782
2022-05-31 11:57:59,0.250627
2022-05-31 11:57:58,0.501253
2022-05-31 11:57:57,0.251256
2022-05-31 11:57:56,0.625
2022-05-31 11:57:55,0.501253
2022-05-31 11:57:54,0.37594
2022-05-31 11:57:53,0.376884
2022-05-31 11:57:52,0.37594
2022-05-31 11:57:51,0.376412
2022-05-31 11:57:50,0.500626
2022-05-31 11:57:49,0.250941
2022-05-31 11:57:48,0.250941
2022-05-31 11:57:47,0.376412
2022-05-31 11:57:46,0.500626
2022-05-31 11:57:45,0.250941
2022-05-31 11:57:44,0.501882
2022-05-31 11:57:43,0.500626
2022-05-31 11:57:42,0.627352
2022-05-31 11:57:41,0.37594
2022-05-31 11:57:40,0.501253
2022-05-31 11:57:39,0.376412
2022-05-31 11:57:38,0.625
2022-05-31 11:57:37,0.501253
2022-05-31 11:57:36,0.250941
2022-05-31 11:57:35,0.500626
2022-05-31 11:57:34,0.502513
2022-05-31 11:57:33,0.501253
2022-05-31 11:57:32,0.250941
2022-05-31 11:57:31,0.501882
2022-05-31 11:57:30,0.625782
2022-05-31 11:57:29,0.37594
2022-05-31 11:57:28,0.37594
2022-05-31 11:57:27,0.500626
2022-05-31 11:57:26,2.12766
2022-05-31 11:57:25,0.37594
2022-05-31 11:57:24,0.251256
2022-05-31 11:57:23,0.501882
2022-05-31 11:57:22,0.500626
2022-05-31 11:57:21,0.500626
2022-05-31 11:57:20,1.125
2022-05-31 11:57:19,0.250941
2022-05-31 11:57:18,0.500626
2022-05-31 11:57:17,0.376884
2022-05-31 11:57:16,0.37594
2022-05-31 11:57:15,0.75
2022-05-31 11:57:14,0.5
2022-05-31 11:57:13,0.625782
2022-05-31 11:57:12,0.251256
2022-05-31 11:57:11,0.625
2022-05-31 11:57:10,0.998751
2022-05-31 11:57:09,0.37594
2022-05-31 11:57:08,0.626567
2022-05-31 11:57:07,0.125628
2022-05-31 11:57:06,0.749064
2022-05-31 11:57:05,1.00376
2022-05-31 11:57:04,0.251256
2022-05-31 11:57:03,0.626567
2022-05-31 11:57:02,0.251256
2022-05-31 11:57:01,0.5
2022-05-31 11:57:00,0.749064
2022-05-31 11:56:59,0.125628
2022-05-31 11:56:58,0.500626
2022-05-31 11:56:57,0.125628
2022-05-31 11:56:56,0.376412
2022-05-31 11:56:55,0.376884
2022-05-31 11:56:54,0.37594
2022-05-31 11:56:53,0.375469
2022-05-31 11:56:52,0.628141
2022-05-31 11:56:51,0.500626
2022-05-31 11:56:50,0.376412
2022-05-31 11:56:49,0.501882
2022-05-31 11:56:48,0.37594
2022-05-31 11:56:47,0.501253
2022-05-31 11:56:46,0.62422
2022-05-31 11:56:45,0.376412
2022-05-31 11:56:44,0.375469
2022-05-31 11:56:43,0.500626
2022-05-31 11:56:42,0.250941
2022-05-31 11:56:41,0.37594
2022-05-31 11:56:40,0.501253
2022-05-31 11:56:39,0.625782
2022-05-31 11:56:38,0.250627
2022-05-31 11:56:37,0.749064
2022-05-31 11:56:36,0.250941
2022-05-31 11:56:35,0.625
2022-05-31 11:56:34,0.37594
2022-05-31 11:56:33,0.501253
2022-05-31 11:56:32,0.501253
2022-05-31 11:56:31,0.500626
2022-05-31 11:56:30,0.625782
2022-05-31 11:56:29,0.501253
2022-05-31 11:56:28,0.125628
2022-05-31 11:56:27,0.375469
2022-05-31 11:56:26,0.501253
2022-05-31 11:56:25,0.37594
2022-05-31 11:56:24,0.500626
2022-05-31 11:56:23,0.62422
2022-05-31 11:56:22,0.37594
2022-05-31 11:56:21,0.501253
2022-05-31 11:56:20,0.376412
2022-05-31 11:56:19,0.125471
2022-05-31 11:56:18,0.251256
2022-05-31 11:56:17,0.250627
2022-05-31 11:56:16,0.625782
2022-05-31 11:56:15,0.501253
2022-05-31 11:56:14,0.500626
2022-05-31 11:56:13,0.125628
2022-05-31 11:56:12,0.37594
2022-05-31 11:56:11,0.500626
2022-05-31 11:56:10,0.500626
2022-05-31 11:56:09,0.501253
2022-05-31 11:56:08,0.500626
2022-05-31 11:56:07,0.75
2022-05-31 11:56:06,0.376412
2022-05-31 11:56:05,0.5
2022-05-31 11:56:04,0.37594
2022-05-31 11:56:03,0.125628
2022-05-31 11:56:02,1
2022-05-31 11:56:01,0.377359
2022-05-31 11:56:00,0.873908
2022-05-31 11:55:59,0.500626
2022-05-31 11:55:58,0.749064
2022-05-31 11:55:57,0.625782
2022-05-31 11:55:56,0.625782
2022-05-31 11:55:55,0.250313
2022-05-31 11:55:54,0.251572
2022-05-31 11:55:53,0.37594
2022-05-31 11:55:52,0.625782
2022-05-31 11:55:51,0.500626
2022-05-31 11:55:50,0.500626
2022-05-31 11:55:49,0.250941
2022-05-31 11:55:48,0.37594
2022-05-31 11:55:47,0.500626
2022-05-31 11:55:46,0.873907
2022-05-31 11:55:45,0.625
2022-05-31 11:55:44,0.876095
2022-05-31 11:55:43,0.500626
2022-05-31 11:55:42,0.625
2022-05-31 11:55:41,0.125471
2022-05-31 11:55:40,0.625782
2022-05-31 11:55:39,0.500626
2022-05-31 11:55:38,0.625782
2022-05-31 11:55:37,0.500626
2022-05-31 11:55:36,0.998752
2022-05-31 11:55:35,0.74813
2022-05-31 11:55:34,0.376884
2022-05-31 11:55:33,0.625
2022-05-31 11:55:32,0.37594
2022-05-31 11:55:31,0.625782
2022-05-31 11:55:30,0.500626
2022-05-31 11:55:29,0.500626
2022-05-31 11:55:28,0.625
2022-05-31 11:55:27,0.37594
2022-05-31 11:55:26,0.250941
2022-05-31 11:55:25,0.625782
2022-05-31 11:55:24,0.75188
2022-05-31 11:55:23,0.125471
2022-05-31 11:55:22,0.37594
2022-05-31 11:55:21,0.500626
2022-05-31 11:55:20,0.499376
2022-05-31 11:55:19,0.501882
2022-05-31 11:55:18,0.375469
2022-05-31 11:55:17,0.501253
2022-05-31 11:55:16,0.873908
2022-05-31 11:55:15,0.625
2022-05-31 11:55:14,0.627352
2022-05-31 11:55:13,0.625
2022-05-31 11:55:12,0.125471
2022-05-31 11:55:11,0.625
2022-05-31 11:55:10,0.37594
2022-05-31 11:55:09,0.500626
2022-05-31 11:55:08,0.251256
2022-05-31 11:55:07,0.500626
2022-05-31 11:55:06,0.625
2022-05-31 11:55:05,0.500626
2022-05-31 11:55:04,1
2022-05-31 11:55:03,0.501882
2022-05-31 11:55:02,0.498753
2022-05-31 11:55:01,0.503145
2022-05-31 11:55:00,0.375469
2022-05-31 11:54:59,0.625
2022-05-31 11:54:58,0.5
2022-05-31 11:54:57,0.501882
2022-05-31 11:54:56,0.500626
2022-05-31 11:54:55,0.750939
2022-05-31 11:54:54,0.5
2022-05-31 11:54:53,0.627352
2022-05-31 11:54:52,0.753769
2022-05-31 11:54:51,0.5
2022-05-31 11:54:50,0.500626
2022-05-31 11:54:49,0.625
2022-05-31 11:54:48,0.376884
2022-05-31 11:54:47,0.747198
2022-05-31 11:54:46,0.501882
2022-05-31 11:54:45,0.500626
2022-05-31 11:54:44,0.250627
2022-05-31 11:54:43,0.375469
2022-05-31 11:54:42,0.75188
2022-05-31 11:54:41,0.625
2022-05-31 11:54:40,0.37594
2022-05-31 11:54:39,0.376412
2022-05-31 11:54:38,0.625
2022-05-31 11:54:37,0.375
2022-05-31 11:54:36,0.74813
2022-05-31 11:54:35,0.251889
2022-05-31 11:54:34,0.499376
2022-05-31 11:54:33,0.375469
2022-05-31 11:54:32,0.501882
2022-05-31 11:54:31,0.500626
2022-05-31 11:54:30,0
2022-05-31 11:54:29,0.626566
2022-05-31 11:54:28,0.37594
2022-05-31 11:54:27,0.5
2022-05-31 11:54:26,0.376884
2022-05-31 11:54:25,0.625
2022-05-31 11:54:24,0.500626
2022-05-31 11:54:23,0.499376
2022-05-31 11:54:22,0.376884
2022-05-31 11:54:21,0.75188
2022-05-31 11:54:20,0.626566
2022-05-31 11:54:19,0.500626
2022-05-31 11:54:18,0.5
2022-05-31 11:54:17,0.376412
2022-05-31 11:54:16,0.375469
2022-05-31 11:54:15,0.125945
2022-05-31 11:54:14,0.5
2022-05-31 11:54:13,0.499376
2022-05-31 11:54:12,0.750939
2022-05-31 11:54:11,0.749064
2022-05-31 11:54:10,0.626566
2022-05-31 11:54:09,0.250627
2022-05-31 11:54:08,0.881612
2022-05-31 11:54:07,0.499376
2022-05-31 11:54:06,0.625
2022-05-31 11:54:05,1
2022-05-31 11:54:04,0.250313
2022-05-31 11:54:03,0.251572
2022-05-31 11:54:02,0.625
2022-05-31 11:54:01,0.501253
2022-05-31 11:54:00,0.500626
2022-05-31 11:53:59,0.75
2022-05-31 11:53:58,0.5
2022-05-31 11:53:57,0.376412
2022-05-31 11:53:56,0.625
2022-05-31 11:53:55,0.501253
2022-05-31 11:53:54,0.250313
2022-05-31 11:53:53,0.376884
2022-05-31 11:53:52,0.375
2022-05-31 11:53:51,0.626566
2022-05-31 11:53:50,0.5
2022-05-31 11:53:49,0.376884
2022-05-31 11:53:48,0.746269
2022-05-31 11:53:47,0.750939
2022-05-31 11:53:46,0.376884
2022-05-31 11:53:45,0.375469
2022-05-31 11:53:44,0.251572
2022-05-31 11:53:43,0.375
2022-05-31 11:53:42,0.251889
2022-05-31 11:53:41,0.250627
2022-05-31 11:53:40,0.872818
2022-05-31 11:53:39,0.37594
2022-05-31 11:53:38,0.376412
2022-05-31 11:53:37,0.251256
2022-05-31 11:53:36,0.500626
2022-05-31 11:53:35,0.501253
2022-05-31 11:53:34,0.250627
2022-05-31 11:53:33,0.251256
2022-05-31 11:53:32,0.37594
2022-05-31 11:53:31,0.125786
2022-05-31 11:53:30,0.749064
2022-05-31 11:53:29,0.500626
2022-05-31 11:53:28,0.250941
2022-05-31 11:53:27,0.251256
2022-05-31 11:53:26,0.501253
2022-05-31 11:53:25,0.625
2022-05-31 11:53:24,0.501253
2022-05-31 11:53:23,0.501253
2022-05-31 11:53:22,0.625
2022-05-31 11:53:21,0.250941
2022-05-31 11:53:20,0.37594
2022-05-31 11:53:19,0.37594
2022-05-31 11:53:18,0.749064
2022-05-31 11:53:17,0.125786
2022-05-31 11:53:16,0.500626
2022-05-31 11:53:15,0.500626
2022-05-31 11:53:14,0.500626
2022-05-31 11:53:13,0.376412
2022-05-31 11:53:12,0.37594
2022-05-31 11:53:11,0.37594
2022-05-31 11:53:10,0.37594
2022-05-31 11:53:09,0.37594
2022-05-31 11:53:08,0.500626
2022-05-31 11:53:07,0.250941
2022-05-31 11:53:06,0.376412
2022-05-31 11:53:05,0.626566
2022-05-31 11:53:04,0.625
2022-05-31 11:53:03,0.501253
2022-05-31 11:53:02,0.37594
2022-05-31 11:53:01,0.501253
2022-05-31 11:53:00,0.37594
2022-05-31 11:52:59,0.125471
2022-05-31 11:52:58,0.125471
2022-05-31 11:52:57,0.251256
2022-05-31 11:52:56,0.250941
2022-05-31 11:52:55,0.502513
2022-05-31 11:52:54,0.753769
2022-05-31 11:52:53,0.37594
2022-05-31 11:52:52,0.250941
2022-05-31 11:52:51,0.37594
2022-05-31 11:52:50,0.501253
2022-05-31 11:52:49,0.500626
2022-05-31 11:52:48,0.37594
2022-05-31 11:52:47,0.37594
2022-05-31 11:52:46,0.37594
2022-05-31 11:52:45,0.125628
2022-05-31 11:52:44,0.500626
2022-05-31 11:52:43,0.625782
2022-05-31 11:52:42,0.75
2022-05-31 11:52:41,0.501882
2022-05-31 11:52:40,0.752823
2022-05-31 11:52:39,0.250941
2022-05-31 11:52:38,0
2022-05-31 11:52:37,0.37594
2022-05-31 11:52:36,0.500626
2022-05-31 11:52:35,0.626567
2022-05-31 11:52:34,0.625
2022-05-31 11:52:33,0.501253
2022-05-31 11:52:32,0.125628
2022-05-31 11:52:31,0.500626
2022-05-31 11:52:30,0.37594
2022-05-31 11:52:29,0.752823
2022-05-31 11:52:28,0.75188
2022-05-31 11:52:27,0.250941
2022-05-31 11:52:26,0.500626
2022-05-31 11:52:25,0.376412
2022-05-31 11:52:24,0.626566
2022-05-31 11:52:23,0.376412
2022-05-31 11:52:22,0.250627
2022-05-31 11:52:21,0.75
2022-05-31 11:52:20,0.625
2022-05-31 11:52:19,0.501882
2022-05-31 11:52:18,0.376412
2022-05-31 11:52:17,0.250627
2022-05-31 11:52:16,0.627352
2022-05-31 11:52:15,0.37594
2022-05-31 11:52:14,0.62422
2022-05-31 11:52:13,0.251256
2022-05-31 11:52:12,0.625
2022-05-31 11:52:11,0.625782
2022-05-31 11:52:10,0.626567
2022-05-31 11:52:09,0.125786
2022-05-31 11:52:08,0.375469
2022-05-31 11:52:07,0.37594
2022-05-31 11:52:06,0.376412
2022-05-31 11:52:05,0.376412
2022-05-31 11:52:04,0.250627
2022-05-31 11:52:03,0.250941
2022-05-31 11:52:02,0.376412
2022-05-31 11:52:01,0.37594
2022-05-31 11:52:00,0.500626
2022-05-31 11:51:59,0.250941
2022-05-31 11:51:58,0.502512
2022-05-31 11:51:57,0.501253
2022-05-31 11:51:56,0.75188
2022-05-31 11:51:55,0.375469
2022-05-31 11:51:54,0.376412
2022-05-31 11:51:53,0.500626
2022-05-31 11:51:52,1.75
2022-05-31 11:51:51,0.37594
2022-05-31 11:51:50,0.501882
2022-05-31 11:51:49,0.5
2022-05-31 11:51:48,0.625
2022-05-31 11:51:47,0.37594
2022-05-31 11:51:46,0.501253
2022-05-31 11:51:45,0.125945
2022-05-31 11:51:44,0.746269
2022-05-31 11:51:43,0.501882
2022-05-31 11:51:42,0.75188
2022-05-31 11:51:41,0.501253
2022-05-31 11:51:40,0.250941
2022-05-31 11:51:39,0.500626
2022-05-31 11:51:38,0.125628
2022-05-31 11:51:37,0.501882
2022-05-31 11:51:36,0.625
2022-05-31 11:51:35,0.500626
2022-05-31 11:51:34,0.750939
2022-05-31 11:51:33,0.501253
2022-05-31 11:51:32,0.250313
2022-05-31 11:51:31,0.501253
2022-05-31 11:51:30,0.376884
2022-05-31 11:51:29,0.873907
2022-05-31 11:51:28,0.250941
2022-05-31 11:51:27,0.75
2022-05-31 11:51:26,0.625782
2022-05-31 11:51:25,0.250941
2022-05-31 11:51:24,0.500626
2022-05-31 11:51:23,0.503145
2022-05-31 11:51:22,0.250941
2022-05-31 11:51:21,1.49813
2022-05-31 11:51:20,0.375469
2022-05-31 11:51:19,0.500626
2022-05-31 11:51:18,0.251256
2022-05-31 11:51:17,0.749064
2022-05-31 11:51:16,0.625
2022-05-31 11:51:15,0.37594
2022-05-31 11:51:14,0.376412
2022-05-31 11:51:13,0.376412
2022-05-31 11:51:12,0.501253
2022-05-31 11:51:11,0.500626
2022-05-31 11:51:10,0.623441
2022-05-31 11:51:09,0.377359
2022-05-31 11:51:08,0.749064
2022-05-31 11:51:07,0.501253
2022-05-31 11:51:06,0.37594
2022-05-31 11:51:05,0.125628
2022-05-31 11:51:04,0.876095
2022-05-31 11:51:03,0.37594
2022-05-31 11:51:02,0.500626
2022-05-31 11:51:01,0.75
2022-05-31 11:51:00,0.376884
2022-05-31 11:50:59,0.500626
2022-05-31 11:50:58,0.501253
2022-05-31 11:50:57,0.501253
2022-05-31 11:50:56,0.5
2022-05-31 11:50:55,0.376412
2022-05-31 11:50:54,0.623441
2022-05-31 11:50:53,0.627352
2022-05-31 11:50:52,0.749064
2022-05-31 11:50:51,0.501253
2022-05-31 11:50:50,0.500626
2022-05-31 11:50:49,0.5
2022-05-31 11:50:48,0.37594
2022-05-31 11:50:47,0.500626
2022-05-31 11:50:46,0.500626
2022-05-31 11:50:45,0.37594
2022-05-31 11:50:44,1.00125
2022-05-31 11:50:43,0.251256
2022-05-31 11:50:42,0.625
2022-05-31 11:50:41,0.250941
2022-05-31 11:50:40,0.625782
2022-05-31 11:50:39,0.5
2022-05-31 11:50:38,0.251572
2022-05-31 11:50:37,0.5
2022-05-31 11:50:36,0.625782
2022-05-31 11:50:35,0.375469
